VEL: (-9.349224, -12.009328, -24.722595) ROT: (-0.04990601, -3.076862, -0.4846505)
# 2 Sample: 28 Time: 0.78709596 POSN: (14.060839, 5.3662705, 4.5324483)
VEL: (-20.464504, 8.492609, -12.140027) ROT: (-1.8495443, -2.756417, 3.2362974)
# 0 Sample: 29 Time: 0.56014097 POSN: (-6.2648835, 12.058843, 4.464032)
VEL: (17.192211, 4.6405964, 21.266352) ROT: (-1.5344317, -2.417844, 1.0013978)
# 1 Sample: 29 Time: 0.56014097 POSN: (-4.859892, 6.1552243, -14.244847)
VEL: (-6.668894, 11.68232, -19.258146) ROT: (-2.5542586, -3.0768619, 0.74374163)
# 2 Sample: 29 Time: 0.56014097 POSN: (12.696539, 5.9051943, 3.723113)
VEL: (-20.464504, 7.8386097, -12.140027) ROT: (-1.8495443, -2.756417, 3.2362974)
# 0 Sample: 30 Time: 0.46119598 POSN: (-5.1187367, 12.340966, 5.881789)
VEL: (17.192211, 3.9865968, 21.266352) ROT: (-1.5344317, -2.417844, 1.0013978)
# 1 Sample: 30 Time: 0.46119598 POSN: (-5.4489884, 6.943624, -13.602908)
VEL: (-9.558949, 11.764891, 19.258163) ROT: (-2.216682, -1.7523447, 0.743742)
# 2 Sample: 30 Time: 0.46119598 POSN: (11.332239, 6.4005184, 2.9137783)
VEL: (-20.464504, 7.1846104, -12.140027) ROT: (-1.8495443, -2.756417, 3.2362974)
# 0 Sample: 31 Time: 0.859254 POSN: (-3.9725897, 12.579489, 7.2995462)
VEL: (17.192211, 3.3325965, 21.266352) ROT: (-1.5344317, -2.417844, 1.0013978)
# 1 Sample: 31 Time: 0.859254 POSN: (-6.0862527, 7.7007003, -12.31903)
VEL: (-9.558949, 11.110891, 19.258163) ROT: (-2.216682, -1.7523447, 0.743742)
# 2 Sample: 31 Time: 0.859254 POSN: (9.967939, 6.8522425, 2.1044436)
VEL: (-20.464504, 6.530611, -12.140027) ROT: (-1.8495443, -2.756417, 3.2362974)
# 0 Sample: 32 Time: 0.577042 POSN: (-2.826442, 12.774412, 8.717302)
VEL: (17.192211, 2.6785963, 21.266352) ROT: (-1.5344317, -2.417844, 1.0013978)
# 1 Sample: 32 Time: 0.577042 POSN: (-6.723517, 8.414176, -11.0351515)
VEL: (-9.558949, 10.456892, 19.258163) ROT: (-2.216682, -1.7523447, 0.743742)
# 2 Sample: 32 Time: 0.577042 POSN: (8.60364, 7.2603664, 1.2951083)
VEL: (-20.464504, 5.8766117, -12.140027) ROT: (-1.8495443, -2.756417, 3.2362974)
# 0 Sample: 33 Time: 0.519721 POSN: (-1.6802943, 12.9257345, 10.135057)
VEL: (17.192211, 2.024596, 21.266352) ROT: (-1.5344317, -2.417844, 1.0013978)
# 1 Sample: 33 Time: 0.519721 POSN: (-7.360781, 9.084052, -9.751273)
VEL: (-9.558949, 9.802893, 19.258163) ROT: (-2.216682, -1.7523447, 0.743742)
# 2 Sample: 33 Time: 0.519721 POSN: (7.23934, 7.624891, 0.4857731)
VEL: (-20.464504, 5.2226124, -12.140027) ROT: (-1.8495443, -2.756417, 3.2362974)
# 0 Sample: 34 Time: 0.611232 POSN: (-0.53414667, 13.033458, 11.552813)
VEL: (17.192211, 1.3705957, 21.266352) ROT: (-1.5344317, -2.417844, 1.0013978)
# 1 Sample: 34 Time: 0.611232 POSN: (-7.9980454, 9.710329, -8.467395)
VEL: (-9.558949, 9.148893, 19.258163) ROT: (-2.216682, -1.7523447, 0.743742)
# 2 Sample: 34 Time: 0.611232 POSN: (5.87504, 7.945815, -0.3235621)
VEL: (-20.464504, 4.568613, -12.140027) ROT: (-1.8495443, -2.756417, 3.2362974)
# 0 Sample: 35 Time: 0.41506097 POSN: (0.6120008, 13.097581, 12.970568)
VEL: (17.192211, 0.71659553, 21.266352) ROT: (-1.5344317, -2.417844, 1.0013978)
# 1 Sample: 35 Time: 0.41506097 POSN: (-8.635309, 10.293005, -7.1835165)
VEL: (-9.558949, 8.494894, 19.258163) ROT: (-2.216682, -1.7523447, 0.743742)
# 2 Sample: 35 Time: 0.41506097 POSN: (4.5107403, 8.22314, -1.1328973)
VEL: (-20.464504, 3.9146135, -12.140027) ROT: (-1.8495443, -2.756417, 3.2362974)
# 0 Sample: 36 Time: 0.517967 POSN: (1.7581484, 13.118104, 14.388323)
VEL: (17.192211, 0.06259549, 21.266352) ROT: (-1.5344317, -2.417844, 1.0013978)
